Genus,Class,Family
Ophiocolea,Dicotyledons,BIGNONIACEAE
Oroxylum,Dicotyledons,BIGNONIACEAE
Orthotheca,Dicotyledons,BIGNONIACEAE
Osmhydrophora,Dicotyledons,BIGNONIACEAE
Pachyptera,Dicotyledons,BIGNONIACEAE
Pajanelia,Dicotyledons,BIGNONIACEAE
Pandorea,Dicotyledons,BIGNONIACEAE
Panterpa,Dicotyledons,BIGNONIACEAE
Parabignonia,Dicotyledons,BIGNONIACEAE
Paracarpaea,Dicotyledons,BIGNONIACEAE
Paracolea,Dicotyledons,BIGNONIACEAE
Paradolichandra,Dicotyledons,BIGNONIACEAE
Paragonia,Dicotyledons,BIGNONIACEAE
Paramansoa,Dicotyledons,BIGNONIACEAE
Paratecoma,Dicotyledons,BIGNONIACEAE
Parmentiera,Dicotyledons,BIGNONIACEAE
Pauldopia,Dicotyledons,BIGNONIACEAE
Pentelesia,Dicotyledons,BIGNONIACEAE
Perianthomega,Dicotyledons,BIGNONIACEAE
Periarrabidaea,Dicotyledons,BIGNONIACEAE
Perichlaena,Dicotyledons,BIGNONIACEAE
Petastoma,Dicotyledons,BIGNONIACEAE
Phaedranthus,Dicotyledons,BIGNONIACEAE
Phoenicocissus,Dicotyledons,BIGNONIACEAE
Phryganocydia,Dicotyledons,BIGNONIACEAE
Phrygiobureaua,Dicotyledons,BIGNONIACEAE
Phyllarthron,Dicotyledons,BIGNONIACEAE
Phylloctenium,Dicotyledons,BIGNONIACEAE
Piriadacus,Dicotyledons,BIGNONIACEAE
Pithecoctenium,Dicotyledons,BIGNONIACEAE
Platolaria,Dicotyledons,BIGNONIACEAE
Pleonotoma,Dicotyledons,BIGNONIACEAE
Podranea,Dicotyledons,BIGNONIACEAE
Pongelia,Dicotyledons,BIGNONIACEAE
Potamoganos,Dicotyledons,BIGNONIACEAE
Potamoxylon,Dicotyledons,BIGNONIACEAE
Pseudocalymma,Dicotyledons,BIGNONIACEAE
Pseudocatalpa,Dicotyledons,BIGNONIACEAE
Pseudopaegma,Dicotyledons,BIGNONIACEAE
Pteromischus,Dicotyledons,BIGNONIACEAE
Pteropodium,Dicotyledons,BIGNONIACEAE
Pyrostegia,Dicotyledons,BIGNONIACEAE
Radermachera,Dicotyledons,BIGNONIACEAE
Rafinesquia,Dicotyledons,BIGNONIACEAE
Rhigozum,Dicotyledons,BIGNONIACEAE
Rhodocolea,Dicotyledons,BIGNONIACEAE
Roentgenia,Dicotyledons,BIGNONIACEAE
Rojasiophytum,Dicotyledons,BIGNONIACEAE
Romeroa,Dicotyledons,BIGNONIACEAE
Saldanhaea,Dicotyledons,BIGNONIACEAE
Sampaiella,Dicotyledons,BIGNONIACEAE
Sanhilaria,Dicotyledons,BIGNONIACEAE
Santisukia,Dicotyledons,BIGNONIACEAE
Saritaea,Dicotyledons,BIGNONIACEAE
Schizopsis,Dicotyledons,BIGNONIACEAE
Scobinaria,Dicotyledons,BIGNONIACEAE
Setilobus,Dicotyledons,BIGNONIACEAE
Sideropogon,Dicotyledons,BIGNONIACEAE
Siphocolea,Dicotyledons,BIGNONIACEAE
Sotor,Dicotyledons,BIGNONIACEAE
Sparattosperma,Dicotyledons,BIGNONIACEAE
Spathicalyx,Dicotyledons,BIGNONIACEAE
Spathodea,Dicotyledons,BIGNONIACEAE
Spathodeopsis,Dicotyledons,BIGNONIACEAE
Sphingiphila,Dicotyledons,BIGNONIACEAE
Spirotecoma,Dicotyledons,BIGNONIACEAE
Stenolobium,Dicotyledons,BIGNONIACEAE
Stenosiphanthus,Dicotyledons,BIGNONIACEAE
Stereospermum,Dicotyledons,BIGNONIACEAE
Stizophyllum,Dicotyledons,BIGNONIACEAE
Synapsis,Dicotyledons,BIGNONIACEAE
Tabebuia,Dicotyledons,BIGNONIACEAE
Tanaecium,Dicotyledons,BIGNONIACEAE
Tecoma,Dicotyledons,BIGNONIACEAE
Tecomanthe,Dicotyledons,BIGNONIACEAE
Tecomaria,Dicotyledons,BIGNONIACEAE
Tecomella,Dicotyledons,BIGNONIACEAE
Tetrastichella,Dicotyledons,BIGNONIACEAE
Tisserantodendron,Dicotyledons,BIGNONIACEAE
Tourrettia,Dicotyledons,BIGNONIACEAE
Tynanthus,Dicotyledons,BIGNONIACEAE
Tynnanthus,Dicotyledons,BIGNONIACEAE
Urbanolophium,Dicotyledons,BIGNONIACEAE
Vasconcellia,Dicotyledons,BIGNONIACEAE
Wunschmannia,Dicotyledons,BIGNONIACEAE
Xylophragma,Dicotyledons,BIGNONIACEAE
Zaa,Dicotyledons,BIGNONIACEAE
Zenkeria,Dicotyledons,BIGNONIACEAE
Zeyhera,Dicotyledons,BIGNONIACEAE
Zeyheria,Dicotyledons,BIGNONIACEAE
Bixa,Dicotyledons,BIXACEAE
Adansonia,Dicotyledons,BOMBACACEAE
Aguiaria,Dicotyledons,BOMBACACEAE
Bernoullia,Dicotyledons,BOMBACACEAE
Bombacopsis,Dicotyledons,BOMBACACEAE
Bombax,Dicotyledons,BOMBACACEAE
Boschia,Dicotyledons,BOMBACACEAE
Camptostemon,Dicotyledons,BOMBACACEAE
Campylanthera,Dicotyledons,BOMBACACEAE
Catostemma,Dicotyledons,BOMBACACEAE
Cavanillesia,Dicotyledons,BOMBACACEAE
Ceiba,Dicotyledons,BOMBACACEAE
Chorisia,Dicotyledons,BOMBACACEAE
Coelostegia,Dicotyledons,BOMBACACEAE
Cullenia,Dicotyledons,BOMBACACEAE
Cumingia,Dicotyledons,BOMBACACEAE
Durio,Dicotyledons,BOMBACACEAE
Eriodendron,Dicotyledons,BOMBACACEAE
Erione,Dicotyledons,BOMBACACEAE
Eriotheca,Dicotyledons,BOMBACACEAE
Gyranthera,Dicotyledons,BOMBACACEAE
Huberodendron,Dicotyledons,BOMBACACEAE
Kostermansia,Dicotyledons,BOMBACACEAE
Lahia,Dicotyledons,BOMBACACEAE
Matisia,Dicotyledons,BOMBACACEAE
Neesia,Dicotyledons,BOMBACACEAE
Neobuchia,Dicotyledons,BOMBACACEAE
Ochroma,Dicotyledons,BOMBACACEAE
Pachira,Dicotyledons,BOMBACACEAE
Patinoa,Dicotyledons,BOMBACACEAE
Phragmotheca,Dicotyledons,BOMBACACEAE
Pochota,Dicotyledons,BOMBACACEAE
Pseudobombax,Dicotyledons,BOMBACACEAE
Quararibea,Dicotyledons,BOMBACACEAE
Rhodognaphalon,Dicotyledons,BOMBACACEAE
Rhodognaphalopsis,Dicotyledons,BOMBACACEAE
Salmalia,Dicotyledons,BOMBACACEAE
Scleronema,Dicotyledons,BOMBACACEAE
Septotheca,Dicotyledons,BOMBACACEAE
Spirotheca,Dicotyledons,BOMBACACEAE
Actinocarya,Dicotyledons,BORAGINACEAE
Adelocaryum,Dicotyledons,BORAGINACEAE
Aegonychon,Dicotyledons,BORAGINACEAE
Afrotysonia,Dicotyledons,BORAGINACEAE
Aipyanthus,Dicotyledons,BORAGINACEAE
Alkanna,Dicotyledons,BORAGINACEAE
Allocarya,Dicotyledons,BORAGINACEAE
Allocaryastrum,Dicotyledons,BORAGINACEAE
Amblynotopsis,Dicotyledons,BORAGINACEAE
Amblynotus,Dicotyledons,BORAGINACEAE
Amphibologyne,Dicotyledons,BORAGINACEAE
Amsinckia,Dicotyledons,BORAGINACEAE
Anchusa,Dicotyledons,BORAGINACEAE
Ancistrocarya,Dicotyledons,BORAGINACEAE
Anisanthera,Dicotyledons,BORAGINACEAE
Anoplocaryum,Dicotyledons,BORAGINACEAE
Antiotrema,Dicotyledons,BORAGINACEAE
Antiphytum,Dicotyledons,BORAGINACEAE
Antrophora,Dicotyledons,BORAGINACEAE
Argusia,Dicotyledons,BORAGINACEAE
Arnebia,Dicotyledons,BORAGINACEAE
Arnebiola,Dicotyledons,BORAGINACEAE
Asperugo,Dicotyledons,BORAGINACEAE
Austrocynoglossum,Dicotyledons,BORAGINACEAE
Auxemma,Dicotyledons,BORAGINACEAE
Baphorhiza,Dicotyledons,BORAGINACEAE
Beruniella,Dicotyledons,BORAGINACEAE
Beurreria,Dicotyledons,BORAGINACEAE
Bilegnum,Dicotyledons,BORAGINACEAE
Boraginella,Dicotyledons,BORAGINACEAE
Borago,Dicotyledons,BORAGINACEAE
Borrachinea,Dicotyledons,BORAGINACEAE
Borraginoides,Dicotyledons,BORAGINACEAE
Bothriospermum,Dicotyledons,BORAGINACEAE
Bourjotia,Dicotyledons,BORAGINACEAE
Bourreria,Dicotyledons,BORAGINACEAE
Brachybotrys,Dicotyledons,BORAGINACEAE
Brandella,Dicotyledons,BORAGINACEAE
Brunnera,Dicotyledons,BORAGINACEAE
Bucanion,Dicotyledons,BORAGINACEAE
Buglossoides,Dicotyledons,BORAGINACEAE
Caccinia,Dicotyledons,BORAGINACEAE
Camptocarpus,Dicotyledons,BORAGINACEAE
Campylocaryum,Dicotyledons,BORAGINACEAE
Carmona,Dicotyledons,BORAGINACEAE
Caryolopha,Dicotyledons,BORAGINACEAE
Ceballosia,Dicotyledons,BORAGINACEAE
Cerinthe,Dicotyledons,BORAGINACEAE
Cervia,Dicotyledons,BORAGINACEAE
Chamissoniophila,Dicotyledons,BORAGINACEAE
Chionocharis,Dicotyledons,BORAGINACEAE
Choriantha,Dicotyledons,BORAGINACEAE
Cochranea,Dicotyledons,BORAGINACEAE
Coldenia,Dicotyledons,BORAGINACEAE
Colsmannia,Dicotyledons,BORAGINACEAE
Cordia,Dicotyledons,BORAGINACEAE
Cordiada,Dicotyledons,BORAGINACEAE
Cordiopsis,Dicotyledons,BORAGINACEAE
Cortesia,Dicotyledons,BORAGINACEAE
Craniospermum,Dicotyledons,BORAGINACEAE
Crucicaryum,Dicotyledons,BORAGINACEAE
Cryptantha,Dicotyledons,BORAGINACEAE
Cynoglossopsis,Dicotyledons,BORAGINACEAE
Cynoglossum,Dicotyledons,BORAGINACEAE
Cynoglottis,Dicotyledons,BORAGINACEAE
Cyphomattia,Dicotyledons,BORAGINACEAE
Cystistemon,Dicotyledons,BORAGINACEAE
Cystostemon,Dicotyledons,BORAGINACEAE
Dasynotus,Dicotyledons,BORAGINACEAE
Decalepidanthus,Dicotyledons,BORAGINACEAE
Echinoglochin,Dicotyledons,BORAGINACEAE
Echinospermum,Dicotyledons,BORAGINACEAE
Echiochilon,Dicotyledons,BORAGINACEAE
Echiochilopsis,Dicotyledons,BORAGINACEAE
Echioides,Dicotyledons,BORAGINACEAE
Echiopsis,Dicotyledons,BORAGINACEAE
Echiostachys,Dicotyledons,BORAGINACEAE
Echium,Dicotyledons,BORAGINACEAE
Eddya,Dicotyledons,BORAGINACEAE
Ehretia,Dicotyledons,BORAGINACEAE
Elizaldia,Dicotyledons,BORAGINACEAE
Embadium,Dicotyledons,BORAGINACEAE
Endogonia,Dicotyledons,BORAGINACEAE
Eremocarya,Dicotyledons,BORAGINACEAE
Eritrichium,Dicotyledons,BORAGINACEAE
Euploca,Dicotyledons,BORAGINACEAE
Friedrichsthalia,Dicotyledons,BORAGINACEAE
Galapagoa,Dicotyledons,BORAGINACEAE
Gastrocotyle,Dicotyledons,BORAGINACEAE
Gerascanthus,Dicotyledons,BORAGINACEAE
Glyptocaryopsis,Dicotyledons,BORAGINACEAE
Greeneocharis,Dicotyledons,BORAGINACEAE
Gymnoleima,Dicotyledons,BORAGINACEAE
Gyrocaryum,Dicotyledons,BORAGINACEAE
Hackelia,Dicotyledons,BORAGINACEAE
Halacsya,Dicotyledons,BORAGINACEAE
Halgania,Dicotyledons,BORAGINACEAE
Harpagonella,Dicotyledons,BORAGINACEAE
Havilandia,Dicotyledons,BORAGINACEAE
Heliocarya,Dicotyledons,BORAGINACEAE
Heliotropium,Dicotyledons,BORAGINACEAE
Henryettana,Dicotyledons,BORAGINACEAE
Heterocaryum,Dicotyledons,BORAGINACEAE
Hormuzakia,Dicotyledons,BORAGINACEAE
Huynhia,Dicotyledons,BORAGINACEAE
Isorium,Dicotyledons,BORAGINACEAE
Ivanjohnstonia,Dicotyledons,BORAGINACEAE
Johnstonella,Dicotyledons,BORAGINACEAE
Kuschakewiczia,Dicotyledons,BORAGINACEAE
Lacaitaea,Dicotyledons,BORAGINACEAE
Lappula,Dicotyledons,BORAGINACEAE
Lasiarrhenum,Dicotyledons,BORAGINACEAE
Lasiocaryum,Dicotyledons,BORAGINACEAE
Lepechiniella,Dicotyledons,BORAGINACEAE
Lepidocordia,Dicotyledons,BORAGINACEAE
Leptanthe,Dicotyledons,BORAGINACEAE
Leurocline,Dicotyledons,BORAGINACEAE
Lindelofia,Dicotyledons,BORAGINACEAE
Lithocardium,Dicotyledons,BORAGINACEAE
Lithococca,Dicotyledons,BORAGINACEAE
Lithodora,Dicotyledons,BORAGINACEAE
Lithospermum,Dicotyledons,BORAGINACEAE
Lobostema,Dicotyledons,BORAGINACEAE
Lobostemon,Dicotyledons,BORAGINACEAE
Lycopsis,Dicotyledons,BORAGINACEAE
Maccoya,Dicotyledons,BORAGINACEAE
Macromeria,Dicotyledons,BORAGINACEAE
Macrotomia,Dicotyledons,BORAGINACEAE
Maharanga,Dicotyledons,BORAGINACEAE
Mairetis,Dicotyledons,BORAGINACEAE
Mallotonia,Dicotyledons,BORAGINACEAE
Massartina,Dicotyledons,BORAGINACEAE
Mattia,Dicotyledons,BORAGINACEAE
Mattiastrum,Dicotyledons,BORAGINACEAE
Megacaryon,Dicotyledons,BORAGINACEAE
Megastoma,Dicotyledons,BORAGINACEAE
Mertensia,Dicotyledons,BORAGINACEAE
Messerschmidia,Dicotyledons,BORAGINACEAE
Messerschmidia,Dicotyledons,BORAGINACEAE
Messersmidia,Dicotyledons,BORAGINACEAE
Metaeritrichium,Dicotyledons,BORAGINACEAE
Microcaryum,Dicotyledons,BORAGINACEAE
Microparacaryum,Dicotyledons,BORAGINACEAE
Microula,Dicotyledons,BORAGINACEAE
Mimophytum,Dicotyledons,BORAGINACEAE
Moltkia,Dicotyledons,BORAGINACEAE
Moltkiopsis,Dicotyledons,BORAGINACEAE
Monomesia,Dicotyledons,BORAGINACEAE
Moritzia,Dicotyledons,BORAGINACEAE
Munbya,Dicotyledons,BORAGINACEAE
Myosotidium,Dicotyledons,BORAGINACEAE
Myosotis,Dicotyledons,BORAGINACEAE
Neatostema,Dicotyledons,BORAGINACEAE
Nephrocarya,Dicotyledons,BORAGINACEAE
Nesocaryum,Dicotyledons,BORAGINACEAE
Nogalia,Dicotyledons,BORAGINACEAE
Nomosa,Dicotyledons,BORAGINACEAE
Nonea,Dicotyledons,BORAGINACEAE
Octosomatium,Dicotyledons,BORAGINACEAE
Ogastemma,Dicotyledons,BORAGINACEAE
Omphalodes,Dicotyledons,BORAGINACEAE
Omphalolappula,Dicotyledons,BORAGINACEAE
Omphalotrigonotis,Dicotyledons,BORAGINACEAE
Onochiles,Dicotyledons,BORAGINACEAE
Onosma,Dicotyledons,BORAGINACEAE
Onosmodium,Dicotyledons,BORAGINACEAE
Oplexion,Dicotyledons,BORAGINACEAE
Oreocarya,Dicotyledons,BORAGINACEAE
Oreocharis,Dicotyledons,BORAGINACEAE
Oreogenia,Dicotyledons,BORAGINACEAE
Oxyosmyles,Dicotyledons,BORAGINACEAE
Paracaryopsis,Dicotyledons,BORAGINACEAE
Paracaryum,Dicotyledons,BORAGINACEAE
Paracynoglossum,Dicotyledons,BORAGINACEAE
Paramoltkia,Dicotyledons,BORAGINACEAE
Paraskevia,Dicotyledons,BORAGINACEAE
Pardoglossum,Dicotyledons,BORAGINACEAE
Patagonula,Dicotyledons,BORAGINACEAE
Pectocarya,Dicotyledons,BORAGINACEAE
Pedinogyne,Dicotyledons,BORAGINACEAE
Pentaglottis,Dicotyledons,BORAGINACEAE
Penthysa,Dicotyledons,BORAGINACEAE
Perittostemma,Dicotyledons,BORAGINACEAE
Phyllocara,Dicotyledons,BORAGINACEAE
Plagiobothrys,Dicotyledons,BORAGINACEAE
Podonosma,Dicotyledons,BORAGINACEAE
Procopiana,Dicotyledons,BORAGINACEAE
Procopiania,Dicotyledons,BORAGINACEAE
Pseudomertensia,Dicotyledons,BORAGINACEAE
Psilolaemus,Dicotyledons,BORAGINACEAE
Pteleocarpa,Dicotyledons,BORAGINACEAE
Ptilocalyx,Dicotyledons,BORAGINACEAE
Pulmonaria,Dicotyledons,BORAGINACEAE
Raclathris,Dicotyledons,BORAGINACEAE
Rhabdia,Dicotyledons,BORAGINACEAE
Rhabdocalyx,Dicotyledons,BORAGINACEAE
Rhytispermum,Dicotyledons,BORAGINACEAE
Rindera,Dicotyledons,BORAGINACEAE
Rochefortia,Dicotyledons,BORAGINACEAE
Rochelia,Dicotyledons,BORAGINACEAE
Rotula,Dicotyledons,BORAGINACEAE
Saccellium,Dicotyledons,BORAGINACEAE
Scapicephalus,Dicotyledons,BORAGINACEAE
Schistocaryum,Dicotyledons,BORAGINACEAE
Sclerocaryopsis,Dicotyledons,BORAGINACEAE
Selkirkia,Dicotyledons,BORAGINACEAE
Sericostoma,Dicotyledons,BORAGINACEAE
Sinojohnstonia,Dicotyledons,BORAGINACEAE
Solenanthus,Dicotyledons,BORAGINACEAE
Spilocarpus,Dicotyledons,BORAGINACEAE
Stegnocarpus,Dicotyledons,BORAGINACEAE
Stenosolenium,Dicotyledons,BORAGINACEAE
Stephanocaryum,Dicotyledons,BORAGINACEAE
Suchtelenia,Dicotyledons,BORAGINACEAE
Symphytum,Dicotyledons,BORAGINACEAE
Tetraedrocarpus,Dicotyledons,BORAGINACEAE
Thaumatocaryon,Dicotyledons,BORAGINACEAE
Thyrocarpus,Dicotyledons,BORAGINACEAE
Tianschaniella,Dicotyledons,BORAGINACEAE
Tiquilia,Dicotyledons,BORAGINACEAE
Tiquiliopsis,Dicotyledons,BORAGINACEAE
Tournefortia,Dicotyledons,BORAGINACEAE
Toxostigma,Dicotyledons,BORAGINACEAE
Trachelanthus,Dicotyledons,BORAGINACEAE
Trachystemon,Dicotyledons,BORAGINACEAE
Traxara,Dicotyledons,BORAGINACEAE
Traxilum,Dicotyledons,BORAGINACEAE
Trichodesma,Dicotyledons,BORAGINACEAE
Trigonocaryum,Dicotyledons,BORAGINACEAE
Trigonotis,Dicotyledons,BORAGINACEAE
Tysonia,Dicotyledons,BORAGINACEAE
Ulugbekia,Dicotyledons,BORAGINACEAE
Valentina,Dicotyledons,BORAGINACEAE
Valentiniella,Dicotyledons,BORAGINACEAE
Vaupelia,Dicotyledons,BORAGINACEAE
Wellstedia,Dicotyledons,BORAGINACEAE
Wheelerella,Dicotyledons,BORAGINACEAE
Zwackhia,Dicotyledons,BORAGINACEAE
Bretschneidera,Dicotyledons,BRETSCHNEIDERACEAE
Brunellia,Dicotyledons,BRUNELLIACEAE
Astrocoma,Dicotyledons,BRUNIACEAE
Audouinia,Dicotyledons,BRUNIACEAE
Berzelia,Dicotyledons,BRUNIACEAE
Brunia,Dicotyledons,BRUNIACEAE
Diberara,Dicotyledons,BRUNIACEAE
Erasma,Dicotyledons,BRUNIACEAE
Gravenshorstia,Dicotyledons,BRUNIACEAE
Heterodon,Dicotyledons,BRUNIACEAE
Levisanus,Dicotyledons,BRUNIACEAE
Linconia,Dicotyledons,BRUNIACEAE
Lonchostoma,Dicotyledons,BRUNIACEAE
Mniothamnea,Dicotyledons,BRUNIACEAE
Nebelia,Dicotyledons,BRUNIACEAE
Pavinda,Dicotyledons,BRUNIACEAE
Peliotis,Dicotyledons,BRUNIACEAE
Peliotus,Dicotyledons,BRUNIACEAE
Pseudobaeckea,Dicotyledons,BRUNIACEAE
Rabenhorstia,Dicotyledons,BRUNIACEAE
Raspalia,Dicotyledons,BRUNIACEAE
Schinzafra,Dicotyledons,BRUNIACEAE
Staavia,Dicotyledons,BRUNIACEAE
Thamnea,Dicotyledons,BRUNIACEAE
Tittmannia,Dicotyledons,BRUNIACEAE
Adenoplea,Dicotyledons,BUDDLEJACEAE
Adenoplusia,Dicotyledons,BUDDLEJACEAE
Androya,Dicotyledons,BUDDLEJACEAE
Buddleja,Dicotyledons,BUDDLEJACEAE
Chilianthus,Dicotyledons,BUDDLEJACEAE
Emorya,Dicotyledons,BUDDLEJACEAE
Gomara,Dicotyledons,BUDDLEJACEAE
Gomaranthus,Dicotyledons,BUDDLEJACEAE
Gomaria,Dicotyledons,BUDDLEJACEAE
Gomphostigma,Dicotyledons,BUDDLEJACEAE
Hasslerella,Dicotyledons,BUDDLEJACEAE
Lachnopylis,Dicotyledons,BUDDLEJACEAE
Nicodemia,Dicotyledons,BUDDLEJACEAE
Nuxia,Dicotyledons,BUDDLEJACEAE
Peltanthera,Dicotyledons,BUDDLEJACEAE
Polypremum,Dicotyledons,BUDDLEJACEAE
Sanango,Dicotyledons,BUDDLEJACEAE
Valerioa,Dicotyledons,BUDDLEJACEAE
Aucoumea,Dicotyledons,BURSERACEAE
Balsamodendrum,Dicotyledons,BURSERACEAE
Beiselia,Dicotyledons,BURSERACEAE
Boswellia,Dicotyledons,BURSERACEAE
Bursera,Dicotyledons,BURSERACEAE
Canariellum,Dicotyledons,BURSERACEAE
Canarium,Dicotyledons,BURSERACEAE
Commiphora,Dicotyledons,BURSERACEAE
Crepidospermum,Dicotyledons,BURSERACEAE
Dacryodes,Dicotyledons,BURSERACEAE
Elaphrium,Dicotyledons,BURSERACEAE
Garuga,Dicotyledons,BURSERACEAE
Haplolobus,Dicotyledons,BURSERACEAE
Hedwigia,Dicotyledons,BURSERACEAE
Hemicrepidospermum,Dicotyledons,BURSERACEAE
Hemisantiria,Dicotyledons,BURSERACEAE
Hemprichia,Dicotyledons,BURSERACEAE
Icica,Dicotyledons,BURSERACEAE
Icicaster,Dicotyledons,BURSERACEAE
Neomangenotia,Dicotyledons,BURSERACEAE
Pachylobus,Dicotyledons,BURSERACEAE
Paraprotium,Dicotyledons,BURSERACEAE
Protium,Dicotyledons,BURSERACEAE
Santiria,Dicotyledons,BURSERACEAE
Santiriopsis,Dicotyledons,BURSERACEAE
Scutinanthe,Dicotyledons,BURSERACEAE
Tapirocarpus,Dicotyledons,BURSERACEAE
Tetragastris,Dicotyledons,BURSERACEAE
Trattinnickia,Dicotyledons,BURSERACEAE
Trigonochlamys,Dicotyledons,BURSERACEAE
Triomma,Dicotyledons,BURSERACEAE
Buxus,Dicotyledons,BUXACEAE
Crantzia,Dicotyledons,BUXACEAE
Lepidopelma,Dicotyledons,BUXACEAE
Macropodandra,Dicotyledons,BUXACEAE
Notobuxus,Dicotyledons,BUXACEAE
Pachysandra,Dicotyledons,BUXACEAE
Sarcococca,Dicotyledons,BUXACEAE
Styloceras,Dicotyledons,BUXACEAE
Tricera,Dicotyledons,BUXACEAE
Byblis,Dicotyledons,BYBLIDACEAE
Brasenia,Dicotyledons,CABOMBACEAE
Cabomba,Dicotyledons,CABOMBACEAE
Acanthocalycium,Dicotyledons,CACTACEAE
Acanthocephala,Dicotyledons,CACTACEAE
Acanthocereus,Dicotyledons,CACTACEAE
Acantholobivia,Dicotyledons,CACTACEAE
Acanthopetalus,Dicotyledons,CACTACEAE
Acanthorhipsalis,Dicotyledons,CACTACEAE
Acanthorhipsalis,Dicotyledons,CACTACEAE
Airampoa,Dicotyledons,CACTACEAE
Akersia,Dicotyledons,CACTACEAE
Ancistrocactus,Dicotyledons,CACTACEAE
Andenea,Dicotyledons,CACTACEAE
Anhalonium,Dicotyledons,CACTACEAE
Anisocereus,Dicotyledons,CACTACEAE
Aporocactus,Dicotyledons,CACTACEAE
Aporocereus,Dicotyledons,CACTACEAE
Arequipa,Dicotyledons,CACTACEAE
Arequipiopsis,Dicotyledons,CACTACEAE
Ariocarpus,Dicotyledons,CACTACEAE
Armatocereus,Dicotyledons,CACTACEAE
Arrojadoa,Dicotyledons,CACTACEAE
Arthrocereus,Dicotyledons,CACTACEAE
Astrophyton,Dicotyledons,CACTACEAE
Astrophytum,Dicotyledons,CACTACEAE
Aulacothele,Dicotyledons,CACTACEAE
Aureilobivia,Dicotyledons,CACTACEAE
Austrocactus,Dicotyledons,CACTACEAE
Austrocephalocereus,Dicotyledons,CACTACEAE
Austrocylindropuntia,Dicotyledons,CACTACEAE
Aylostera,Dicotyledons,CACTACEAE
Aztekium,Dicotyledons,CACTACEAE
Azureocereus,Dicotyledons,CACTACEAE
Backebergia,Dicotyledons,CACTACEAE
Bartschella,Dicotyledons,CACTACEAE
Bergerocactus,Dicotyledons,CACTACEAE
Bergerocereus,Dicotyledons,CACTACEAE
Binghamia,Dicotyledons,CACTACEAE
Bisnaga,Dicotyledons,CACTACEAE
Blossfeldia,Dicotyledons,CACTACEAE
Bolivicereus,Dicotyledons,CACTACEAE
Bonifazia,Dicotyledons,CACTACEAE
Borzicactella,Dicotyledons,CACTACEAE
Borzicactus,Dicotyledons,CACTACEAE
Borzicereus,Dicotyledons,CACTACEAE
Brachycalycium,Dicotyledons,CACTACEAE
Brachycereus,Dicotyledons,CACTACEAE
Brasilicactus,Dicotyledons,CACTACEAE
Brasilicereus,Dicotyledons,CACTACEAE
Brasiliopuntia,Dicotyledons,CACTACEAE
Brasiliparodia,Dicotyledons,CACTACEAE
Brasilocactus,Dicotyledons,CACTACEAE
Bridgesia,Dicotyledons,CACTACEAE
Brittonia,Dicotyledons,CACTACEAE
Brittonrosea,Dicotyledons,CACTACEAE
Browningia,Dicotyledons,CACTACEAE
Buiningia,Dicotyledons,CACTACEAE
Cactodendron,Dicotyledons,CACTACEAE
Cactus,Dicotyledons,CACTACEAE
Cactus,Dicotyledons,CACTACEAE
Cactus,Dicotyledons,CACTACEAE
Calymmanthium,Dicotyledons,CACTACEAE
Carnegiea,Dicotyledons,CACTACEAE
Cassyta,Dicotyledons,CACTACEAE
Cassytha,Dicotyledons,CACTACEAE
Castellanosia,Dicotyledons,CACTACEAE
Cephalocereus,Dicotyledons,CACTACEAE
Cephalocleistocactus,Dicotyledons,CACTACEAE
Cephalomammillaria,Dicotyledons,CACTACEAE
Ceratistes,Dicotyledons,CACTACEAE
Cereus,Dicotyledons,CACTACEAE
Chaffeyopuntia,Dicotyledons,CACTACEAE
Chamaecereus,Dicotyledons,CACTACEAE
Chamaelobivia,Dicotyledons,CACTACEAE
Chiapasia,Dicotyledons,CACTACEAE
Chichipia,Dicotyledons,CACTACEAE
Chilenia,Dicotyledons,CACTACEAE
Chilenia,Dicotyledons,CACTACEAE
Chilenia,Dicotyledons,CACTACEAE
Chileniopsis,Dicotyledons,CACTACEAE
Chileocactus,Dicotyledons,CACTACEAE
Chileorebutia,Dicotyledons,CACTACEAE
Chiliorebutia,Dicotyledons,CACTACEAE
Chilita,Dicotyledons,CACTACEAE
Chrysocactus,Dicotyledons,CACTACEAE
Cinnabarinea,Dicotyledons,CACTACEAE
Cipocereus,Dicotyledons,CACTACEAE
Clavarioidia,Dicotyledons,CACTACEAE
Cleistocactus,Dicotyledons,CACTACEAE
Cleistocereus,Dicotyledons,CACTACEAE
Clistanthocereus,Dicotyledons,CACTACEAE
Cochemiea,Dicotyledons,CACTACEAE
Cochiseia,Dicotyledons,CACTACEAE
Coleocephalocereus,Dicotyledons,CACTACEAE
Coloradoa,Dicotyledons,CACTACEAE
Consolea,Dicotyledons,CACTACEAE
Copiapoa,Dicotyledons,CACTACEAE
Corryocactus,Dicotyledons,CACTACEAE
Corryocereus,Dicotyledons,CACTACEAE
Corynopuntia,Dicotyledons,CACTACEAE
Coryphantha,Dicotyledons,CACTACEAE
Cryptocereus,Dicotyledons,CACTACEAE
Cullmannia,Dicotyledons,CACTACEAE
Cumarinia,Dicotyledons,CACTACEAE
Cumulopuntia,Dicotyledons,CACTACEAE
Cylindropuntia,Dicotyledons,CACTACEAE
Cylindrorebutia,Dicotyledons,CACTACEAE
Dactylanthocactus,Dicotyledons,CACTACEAE
Deamia,Dicotyledons,CACTACEAE
Delaetia,Dicotyledons,CACTACEAE
