Genus,Class,Family
Dasytropis,Dicotyledons,ACANTHACEAE
Delphinacanthus,Dicotyledons,ACANTHACEAE
Dianthera,Dicotyledons,ACANTHACEAE
Diateinacanthus,Dicotyledons,ACANTHACEAE
Dicentranthera,Dicotyledons,ACANTHACEAE
Dichazothece,Dicotyledons,ACANTHACEAE
Dicladanthera,Dicotyledons,ACANTHACEAE
Dicliptera,Dicotyledons,ACANTHACEAE
Dicranacanthus,Dicotyledons,ACANTHACEAE
Didyplosandra,Dicotyledons,ACANTHACEAE
Diflugossa,Dicotyledons,ACANTHACEAE
Dimanisa,Dicotyledons,ACANTHACEAE
Dinteracanthus,Dicotyledons,ACANTHACEAE
Diotacanthus,Dicotyledons,ACANTHACEAE
Dipteracanthus,Dicotyledons,ACANTHACEAE
Dischistocalyx,Dicotyledons,ACANTHACEAE
Disperma,Dicotyledons,ACANTHACEAE
Distichocalyx,Dicotyledons,ACANTHACEAE
Ditrichospermum,Dicotyledons,ACANTHACEAE
Dolichostachys,Dicotyledons,ACANTHACEAE
Dossifluga,Dicotyledons,ACANTHACEAE
Drejera,Dicotyledons,ACANTHACEAE
Drejerella,Dicotyledons,ACANTHACEAE
Duosperma,Dicotyledons,ACANTHACEAE
Duvernoia,Dicotyledons,ACANTHACEAE
Dyschoriste,Dicotyledons,ACANTHACEAE
Dyspemptemorion,Dicotyledons,ACANTHACEAE
Ebermaiera,Dicotyledons,ACANTHACEAE
Ecbolium,Dicotyledons,ACANTHACEAE
Echinacanthus,Dicotyledons,ACANTHACEAE
Echinopaepale,Dicotyledons,ACANTHACEAE
Ecteinanthus,Dicotyledons,ACANTHACEAE
Elytraria,Dicotyledons,ACANTHACEAE
Emularia,Dicotyledons,ACANTHACEAE
Encephalosphaera,Dicotyledons,ACANTHACEAE
Endopogon,Dicotyledons,ACANTHACEAE
Endosiphon,Dicotyledons,ACANTHACEAE
Epiclastopelma,Dicotyledons,ACANTHACEAE
Eranthemum,Dicotyledons,ACANTHACEAE
Eremomastax,Dicotyledons,ACANTHACEAE
Eriostrobilus,Dicotyledons,ACANTHACEAE
Erythracanthus,Dicotyledons,ACANTHACEAE
Ethesia,Dicotyledons,ACANTHACEAE
Eusiphon,Dicotyledons,ACANTHACEAE
Filetia,Dicotyledons,ACANTHACEAE
Fittonia,Dicotyledons,ACANTHACEAE
Forcipella,Dicotyledons,ACANTHACEAE
Forsythiopsis,Dicotyledons,ACANTHACEAE
Gantelbua,Dicotyledons,ACANTHACEAE
Gastranthus,Dicotyledons,ACANTHACEAE
Gatesia,Dicotyledons,ACANTHACEAE
Geissomeria,Dicotyledons,ACANTHACEAE
Gendarussa,Dicotyledons,ACANTHACEAE
Gerardia,Dicotyledons,ACANTHACEAE
Gilletiella,Dicotyledons,ACANTHACEAE
Glockeria,Dicotyledons,ACANTHACEAE
Glosarithys,Dicotyledons,ACANTHACEAE
Glossochilus,Dicotyledons,ACANTHACEAE
Golaea,Dicotyledons,ACANTHACEAE
Goldfussia,Dicotyledons,ACANTHACEAE
Graphandra,Dicotyledons,ACANTHACEAE
Graptophyllum,Dicotyledons,ACANTHACEAE
Gutzlaffia,Dicotyledons,ACANTHACEAE
Gymapsis,Dicotyledons,ACANTHACEAE
Gymnacanthus,Dicotyledons,ACANTHACEAE
Gymnostachyum,Dicotyledons,ACANTHACEAE
Gynocraterium,Dicotyledons,ACANTHACEAE
Gypsacanthus,Dicotyledons,ACANTHACEAE
Habracanthus,Dicotyledons,ACANTHACEAE
Haemacanthus,Dicotyledons,ACANTHACEAE
Hallieracantha,Dicotyledons,ACANTHACEAE
Hansteinia,Dicotyledons,ACANTHACEAE
Haplanthera,Dicotyledons,ACANTHACEAE
Haplanthodes,Dicotyledons,ACANTHACEAE
Haplanthoides,Dicotyledons,ACANTHACEAE
Haplanthus,Dicotyledons,ACANTHACEAE
Harnieria,Dicotyledons,ACANTHACEAE
Harpochilus,Dicotyledons,ACANTHACEAE
Harrachia,Dicotyledons,ACANTHACEAE
Haselhoffia,Dicotyledons,ACANTHACEAE
Heinzelia,Dicotyledons,ACANTHACEAE
Hemiadelphis,Dicotyledons,ACANTHACEAE
Hemichoriste,Dicotyledons,ACANTHACEAE
Hemigraphis,Dicotyledons,ACANTHACEAE
Hemisandra,Dicotyledons,ACANTHACEAE
Henrya,Dicotyledons,ACANTHACEAE
Herpetacanthus,Dicotyledons,ACANTHACEAE
Heteradelphia,Dicotyledons,ACANTHACEAE
Heteraspidia,Dicotyledons,ACANTHACEAE
Himantochilus,Dicotyledons,ACANTHACEAE
Holographis,Dicotyledons,ACANTHACEAE
Hoverdenia,Dicotyledons,ACANTHACEAE
Hulemacanthus,Dicotyledons,ACANTHACEAE
Hydromestus,Dicotyledons,ACANTHACEAE
Hygrophila,Dicotyledons,ACANTHACEAE
Hymenochlaena,Dicotyledons,ACANTHACEAE
Hypoestes,Dicotyledons,ACANTHACEAE
Indoneesiella,Dicotyledons,ACANTHACEAE
Ionacanthus,Dicotyledons,ACANTHACEAE
Isacanthus,Dicotyledons,ACANTHACEAE
Isaloa,Dicotyledons,ACANTHACEAE
Isochoriste,Dicotyledons,ACANTHACEAE
Isoglossa,Dicotyledons,ACANTHACEAE
Isotheca,Dicotyledons,ACANTHACEAE
Ixtlania,Dicotyledons,ACANTHACEAE
Jacobinia,Dicotyledons,ACANTHACEAE
Jadunia,Dicotyledons,ACANTHACEAE
Juruasia,Dicotyledons,ACANTHACEAE
Justicia,Dicotyledons,ACANTHACEAE
Kalbreyeracanthus,Dicotyledons,ACANTHACEAE
Kalbreyeriella,Dicotyledons,ACANTHACEAE
Kanjarum,Dicotyledons,ACANTHACEAE
Kita,Dicotyledons,ACANTHACEAE
Kjellbergia,Dicotyledons,ACANTHACEAE
Kolobochilus,Dicotyledons,ACANTHACEAE
Kosmosiphon,Dicotyledons,ACANTHACEAE
Kudoacanthus,Dicotyledons,ACANTHACEAE
Kuestera,Dicotyledons,ACANTHACEAE
Lagochilium,Dicotyledons,ACANTHACEAE
Lamiacanthus,Dicotyledons,ACANTHACEAE
Lankesteria,Dicotyledons,ACANTHACEAE
Larsenia,Dicotyledons,ACANTHACEAE
Lasiocladus,Dicotyledons,ACANTHACEAE
Leandriella,Dicotyledons,ACANTHACEAE
Leda,Dicotyledons,ACANTHACEAE
Leiophaca,Dicotyledons,ACANTHACEAE
Lepidacanthus,Dicotyledons,ACANTHACEAE
Lepidagathis,Dicotyledons,ACANTHACEAE
Leptacanthus,Dicotyledons,ACANTHACEAE
Leptosiphonium,Dicotyledons,ACANTHACEAE
Leptostachya,Dicotyledons,ACANTHACEAE
Leucobarleria,Dicotyledons,ACANTHACEAE
Leucoraphis,Dicotyledons,ACANTHACEAE
Liberatia,Dicotyledons,ACANTHACEAE
Libonia,Dicotyledons,ACANTHACEAE
Linariantha,Dicotyledons,ACANTHACEAE
Lindauea,Dicotyledons,ACANTHACEAE
Linocalyx,Dicotyledons,ACANTHACEAE
Lirayea,Dicotyledons,ACANTHACEAE
Lissospermum,Dicotyledons,ACANTHACEAE
Listrobanthes,Dicotyledons,ACANTHACEAE
Lophostachys,Dicotyledons,ACANTHACEAE
Lophothecium,Dicotyledons,ACANTHACEAE
Louteridium,Dicotyledons,ACANTHACEAE
Lundellia,Dicotyledons,ACANTHACEAE
Lustrinia,Dicotyledons,ACANTHACEAE
Lychniothyrsus,Dicotyledons,ACANTHACEAE
Mackaya,Dicotyledons,ACANTHACEAE
Mackenziea,Dicotyledons,ACANTHACEAE
Macrorungia,Dicotyledons,ACANTHACEAE
Mananthes,Dicotyledons,ACANTHACEAE
Marcania,Dicotyledons,ACANTHACEAE
Megalochlamys,Dicotyledons,ACANTHACEAE
