Family,Ke,Cw,Ch,Cq,ref
GRAMINEAE,4.6,2.21,0.033,0.000478,"Entandrophragma angolense(Tompsett, 1992)"
LEGUMINOSAE,7.292,3.996,0.0295,0.000491,"Ellis, 1988"
