Family
ACANTHACEAE
ACERACEAE
ACHARIACEAE
ACHATOCARPACEAE
ACORACEAE
ACTINIDIACEAE
ACTINIOPTERIDACEAE
ADIANTACEAE
ADOXACEAE
AEXTOXICACEAE
AGAVACEAE
AGDESTIDACEAE
AIZOACEAE
AKANIACEAE
ALANGIACEAE
ALISMATACEAE
ALLIACEAE
ALOACEAE
ALSEUOSMIACEAE
ALSTROEMERIACEAE
ALZATEACEAE
AMARANTHACEAE
AMARYLLIDACEAE
AMBORELLACEAE
ANACARDIACEAE
ANARTHRIACEAE
ANCISTROCLADACEAE
ANISOPHYLLEACEAE
ANNONACEAE
ANTHERICACEAE
APHYLLANTHACEAE
APOCYNACEAE
APONOGETONACEAE
AQUIFOLIACEAE
ARACEAE
ARALIACEAE
ARALIDIACEAE
ARAUCARIACEAE
ARISTOLOCHIACEAE
ASCLEPIADACEAE
ASPARAGACEAE
ASPHODELACEAE
ASPLENIACEAE
ASTELIACEAE
ASTEROPEIACEAE
AUCUBACEAE
AUSTROBAILEYACEAE
AVICENNIACEAE
AZOLLACEAE
BALANITACEAE
BALANOPACEAE
BALANOPHORACEAE
BALSAMINACEAE
BARBEUIACEAE
BARBEYACEAE
BASELLACEAE
BATACEAE
BEGONIACEAE
BERBERIDACEAE
BETULACEAE
BIGNONIACEAE
BIXACEAE
BLANDFORDIACEAE
BLECHNACEAE
BOMBACACEAE
BORAGINACEAE
BOWENIACEAE
BRETSCHNEIDERACEAE
BROMELIACEAE
BRUNELLIACEAE
BRUNIACEAE
BUDDLEJACEAE
BURMANNIACEAE
BURSERACEAE
BUTOMACEAE
BUXACEAE
BYBLIDACEAE
CABOMBACEAE
CACTACEAE
CALECTASIACEAE
CALLITRICHACEAE
CALYCANTHACEAE
CALYCERACEAE
CAMPANULACEAE
CANELLACEAE
CANNABACEAE
CANNACEAE
CANOTIACEAE
CAPPARACEAE
CAPRIFOLIACEAE
CARDIOPTERIDACEAE
CARICACEAE
CARLEMANNIACEAE
CARYOCARACEAE
CARYOPHYLLACEAE
CASUARINACEAE
CECROPIACEAE
CELASTRACEAE
CENTROLEPIDACEAE
CEPHALOTACEAE
CEPHALOTAXACEAE
CERATOPHYLLACEAE
CERCIDIPHYLLACEAE
CHEIROPLEURIACEAE
CHENOPODIACEAE
CHLORANTHACEAE
CHRYSOBALANACEAE
CIRCAEASTERACEAE
CISTACEAE
CLETHRACEAE
CNEORACEAE
COBAEACEAE
COCHLOSPERMACEAE
COLCHICACEAE
COLUMELLIACEAE
COMBRETACEAE
COMMELINACEAE
COMPOSITAE
CONNARACEAE
CONVALLARIACEAE
CONVOLVULACEAE
CORIARIACEAE
CORNACEAE
CORSIACEAE
CORYLACEAE
CORYNOCARPACEAE
COSTACEAE
CRASSULACEAE
CROSSOSOMATACEAE
CRUCIFERAE
CRYPTERONIACEAE
CTENOLOPHONACEAE
CUCURBITACEAE
CUNONIACEAE
CUPRESSACEAE
CYANASTRACEAE
CYATHEACEAE
CYCADACEAE
CYCLANTHACEAE
CYCLOCHEILACEAE
CYMODOCEACEAE
CYNOMORIACEAE
CYPERACEAE
CYRILLACEAE
DAPHNIPHYLLACEAE
DASYPOGONACEAE
DATISCACEAE
DAVALLIACEAE
DAVIDSONIACEAE
DEGENERIACEAE
DENNSTAEDTIACEAE
DIALYPETALANTHACEAE
DIAPENSIACEAE
DICHAPETALACEAE
DICKSONIACEAE
DIDIEREACEAE
DIDYMELACEAE
DIEGODENDRACEAE
DILLENIACEAE
DIONCOPHYLLACEAE
DIOSCOREACEAE
DIPENTODONTACEAE
DIPSACACEAE
DIPTERIDACEAE
DIPTEROCARPACEAE
DORYANTHACEAE
DRACAENACEAE
DROSERACEAE
DRYOPTERIDACEAE
DUCKEODENDRACEAE
EBENACEAE
ECDEIOCOLEACEAE
ELAEAGNACEAE
ELAEOCARPACEAE
ELATINACEAE
EMBLINGIACEAE
EMPETRACEAE
EPACRIDACEAE
EPHEDRACEAE
EQUISETACEAE
EREMOLEPIDACEAE
EREMOSYNACEAE
ERICACEAE
ERIOCAULACEAE
ERIOSPERMACEAE
ERYTHROXYLACEAE
ESCALLONIACEAE
EUCOMMIACEAE
EUCRYPHIACEAE
EUPHORBIACEAE
EUPHRONIACEAE
EUPOMATIACEAE
EUPTELEACEAE
FAGACEAE
FLACOURTIACEAE
FLAGELLARIACEAE
FOUQUIERIACEAE
FRANKENIACEAE
GARRYACEAE
GEISSOLOMATACEAE
GENTIANACEAE
GERANIACEAE
GESNERIACEAE
GINKGOACEAE
GISEKIACEAE
GLAUCIDIACEAE
GLEICHENIACEAE
GLOBULARIACEAE
GNETACEAE
GOETZEACEAE
GOMORTEGACEAE
GOODENIACEAE
GOUPIACEAE
GRAMINEAE
GRAMMITIDACEAE
GREYIACEAE
GRISELINIACEAE
GROSSULARIACEAE
GRUBBIACEAE
GUNNERACEAE
GUTTIFERAE
GYROSTEMONACEAE
HAEMODORACEAE
HALOPHYTACEAE
HALORAGACEAE
HAMAMELIDACEAE
HANGUANACEAE
HECTORELLACEAE
HELICONIACEAE
HELWINGIACEAE
HEMEROCALLIDACEAE
HERNANDIACEAE
HERRERIACEAE
HIMANTANDRACEAE
HIPPOCASTANACEAE
HIPPURIDACEAE
HOPLESTIGMATACEAE
HOSTACEAE
HUACEAE
HUMIRIACEAE
HYACINTHACEAE
HYDATELLACEAE
HYDNORACEAE
HYDRANGEACEAE
HYDROCHARITACEAE
HYDROPHYLLACEAE
HYDROSTACHYACEAE
HYMENOPHYLLACEAE
HYMENOPHYLLOPSIDACEAE
HYPOXIDACEAE
ICACINACEAE
IDIOSPERMACEAE
ILLECEBRACEAE
ILLICIACEAE
IRIDACEAE
IRVINGIACEAE
ISOETACEAE
IXIOLIRIACEAE
IXONANTHACEAE
JOINVILLEACEAE
JUGLANDACEAE
JUNCACEAE
JUNCAGINACEAE
KRAMERIACEAE
LABIATAE
LACISTEMATACEAE
LACTORIDACEAE
LANARIACEAE
LARDIZABALACEAE
LAURACEAE
LECYTHIDACEAE
LEEACEAE
LEGUMINOSAE-CAESALPINIOIDEAE
LEGUMINOSAE-MIMOSOIDEAE
LEGUMINOSAE-PAPILIONOIDEAE
LEITNERIACEAE
LEMNACEAE
LENNOACEAE
LENTIBULARIACEAE
LEPIDOBOTRYACEAE
LILAEACEAE
LILIACEAE
LIMNANTHACEAE
LIMNOCHARITACEAE
LINACEAE
LISSOCARPACEAE
LOASACEAE
LOGANIACEAE
LOMANDRACEAE
LOMARIOPSIDACEAE
LOPHOPYXIDACEAE
LORANTHACEAE
LOWIACEAE
LOXSOMATACEAE
LYCOPODIACEAE
LYTHRACEAE
MAGNOLIACEAE
MALESHERBIACEAE
MALPIGHIACEAE
MALVACEAE
MARANTACEAE
MARATTIACEAE
MARCGRAVIACEAE
MARSILEACEAE
MATONIACEAE
MAYACACEAE
MEDUSAGYNACEAE
MEDUSANDRACEAE
MELANOPHYLLACEAE
MELANTHIACEAE
MELASTOMATACEAE
MELIACEAE
MELIANTHACEAE
MELIOSMACEAE
MENISPERMACEAE
MENYANTHACEAE
METAXYACEAE
MISODENDRACEAE
MOLLUGINACEAE
MONIMIACEAE
MONTINIACEAE
MORACEAE
MORINACEAE
MORINGACEAE
MUSACEAE
MYOPORACEAE
MYRICACEAE
MYRISTICACEAE
MYROTHAMNACEAE
MYRSINACEAE
MYRTACEAE
NELUMBONACEAE
NEPENTHACEAE
NESOGENACEAE
NEURADACEAE
NYCTAGINACEAE
NYMPHAEACEAE
OCHNACEAE
OLACACEAE
OLEACEAE
OLEANDRACEAE
OLINIACEAE
ONAGRACEAE
ONCOTHECACEAE
OPHIOGLOSSACEAE
OPILIACEAE
ORCHIDACEAE
OSMUNDACEAE
OXALIDACEAE
PAEONIACEAE
PALMAE
PANDACEAE
PANDANACEAE
PAPAVERACEAE
PARACRYPHIACEAE
PARKERIACEAE
PARNASSIACEAE
PASSIFLORACEAE
PEDALIACEAE
PELLICIERACEAE
PENAEACEAE
PENTAPHRAGMATACEAE
PENTAPHYLACACEAE
PENTHORACEAE
PERIDISCACEAE
PETERMANNIACEAE
PHELLINACEAE
PHILESIACEAE
PHILYDRACEAE
PHORMIACEAE
PHRYMACEAE
PHYLLOCLADACEAE
PHYSENACEAE
PHYTOLACCACEAE
PINACEAE
PIPERACEAE
PITTOSPORACEAE
PLAGIOGYRIACEAE
PLAGIOPTERACEAE
PLANTAGINACEAE
PLATANACEAE
PLATYZOMATACEAE
PLUMBAGINACEAE
PODOACEAE
PODOCARPACEAE
PODOSTEMACEAE
POLEMONIACEAE
POLYGALACEAE
POLYGONACEAE
POLYPODIACEAE
PONTEDERIACEAE
PORTULACACEAE
POSIDONIACEAE
POTAMOGETONACEAE
PRIMULACEAE
PROTEACEAE
PSILOTACEAE
PTAEROXYLACEAE
PTERIDACEAE
PTEROSTEMONACEAE
QUIINACEAE
RAFFLESIACEAE
RANUNCULACEAE
RAPATEACEAE
RESEDACEAE
RESTIONACEAE
RETZIACEAE
RHABDODENDRACEAE
RHAMNACEAE
RHIPOGONACEAE
RHIZOPHORACEAE
RHOIPTELEACEAE
RHYNCHOCALYCACEAE
RORIDULACEAE
ROSACEAE
RUBIACEAE
RUSCACEAE
RUTACEAE
SABIACEAE
SACCIFOLIACEAE
SALICACEAE
SALVADORACEAE
SALVINIACEAE
SANTALACEAE
SAPINDACEAE
SAPOTACEAE
SARCOLAENACEAE
SARGENTODOXACEAE
SARRACENIACEAE
SAURURACEAE
SAXIFRAGACEAE
SCHEUCHZERIACEAE
SCHISANDRACEAE
SCHIZAEACEAE
SCROPHULARIACEAE
SCYPHOSTEGIACEAE
SCYTOPETALACEAE
SELAGINELLACEAE
SIMAROUBACEAE
SIMMONDSIACEAE
SMILACACEAE
SOLANACEAE
SPHAEROSEPALACEAE
SPHENOSTEMONACEAE
STACHYURACEAE
STACKHOUSIACEAE
STANGERIACEAE
STAPHYLEACEAE
STEGNOSPERMATACEAE
STEMONACEAE
STERCULIACEAE
STILBACEAE
STRASBURGERIACEAE
STRELITZIACEAE
STROMATOPTERIDACEAE
STYLIDIACEAE
STYLOBASIACEAE
STYRACACEAE
SURIANACEAE
SYMPLOCACEAE
TACCACEAE
TAMARICACEAE
TAXACEAE
TAXODIACEAE
TECOPHILAEACEAE
TEPUIANTHACEAE
TETRACENTRACEAE
TETRACHONDRACEAE
TETRAMERISTACEAE
THEACEAE
THELIGONACEAE
THELYPTERIDACEAE
THEOPHRASTACEAE
THURNIACEAE
THYMELAEACEAE
TICODENDRACEAE
TILIACEAE
TORRICELLIACEAE
TOVARIACEAE
TRAPACEAE
TREMANDRACEAE
TRICHOPODACEAE
TRIGONIACEAE
TRILLIACEAE
TRIMENIACEAE
TRIPLOSTEGIACEAE
TRIURIDACEAE
TROCHODENDRACEAE
TROPAEOLACEAE
TURNERACEAE
TYPHACEAE
ULMACEAE
UMBELLIFERAE
URTICACEAE
VAHLIACEAE
VALERIANACEAE
VELLOZIACEAE
VERBENACEAE
VIOLACEAE
VISCACEAE
VITACEAE
VITTARIACEAE
VOCHYSIACEAE
WELWITSCHIACEAE
WINTERACEAE
WOODSIACEAE
XANTHORRHOEACEAE
XYRIDACEAE
ZAMIACEAE
ZANNICHELLIACEAE
ZINGIBERACEAE
ZOSTERACEAE
ZYGOPHYLLACEAE
