name,oil
Cuphea llavea Lex.,0.264
Cuphea llavea var. miniata (Brongn.) Koehne,0.209
Cuphea painteri Rose,0.358
Cuscuta gronovii Willd. ,0.047
Cyperus kalli (Forssk.) Murb.,0.2
Danae racemosa (L.)Moench ,0.004
Daphne mezereum L. ,0.654
Daphne pontica L.,0.28
Daphniphyllum humile Maxim. ex Franch. & Sav. ,0.349
Daphniphyllum macropodium Miq. ,0.372
Datisca cannabina L. ,0.409
Datura discolor Bernh.,0.208
Datura ferox L.,0.176
Datura inoxia Mill. ,0.179
Datura quercifolia Kunth ,0.161
Datura wrightii Regel ,0.242
Dianthus barbatus L.,0.061
Dicliptera roxburghiana Nees,0.212
Dictamnus albus L.,0.362
Diospyros anisandra S.F.Blake ,0.03
Diospyros lotus L.,0.026
Diospyros texana Scheele ,0.028
Diospyros virginiana L.,0.026
Dipcadi glaucum (Burch. ex Ker Gawl.) Baker,0.103
Dipsacus sylvestris Huds.,0.28
Dipterocarpus intricatus Dyer,0.159
Disanthus cercidifolius Maxim. ,0.162
Dodonaea viscosa Jacq.,0.1507
Duranta erecta L.,0.014
Dystaenia takesimana (Nakai) Kitag. ,0.0662
Ecballium elaterium (L.) A.Rich.,0.573
Echinopepon horridus Naudin ,0.214
Eleutherococcus spinosus (L.f.) S.Y.Hu,0.366
Epilobium hirsutum L.,0.317
Eremurus aucherianus Boiss.,0.295
Eremurus aurantiacus Baker ,0.273
Erodium ciconium (L.) L'Hér. ,0.12
Erodium gruinum (L.) L'Her. ,0.107
Erodium texanum A.Gray ,0.158
Euonymus alatus (Thunb.) Sieber ,0.444
Euonymus europaeus L.,0.515
Euonymus hamiltonianus Wall.,0.518
Euonymus latifolius (L.) Mill.,0.479
Euonymus verrucosus Scop.,0.4435
Euphorbia helioscopia L. ,0.326
Euphorbia maculata L. ,0.0786 
Euphorbia marginata Pursh,0.249
Fraxinus americana L. ,0.334
Fraxinus ornus L.,0.265
Fraxinus oxycarpa Willd. ,0.299
Fraxinus xanthoxyloides (G.Don) DC. ,0.267
Fumaria densiflora DC.,0.327
Galium spurium var. echinospermon   ,0.0198
Gaura neomexicana Wooton ,0.483
Gaura suffulta Engelm. ex A.Gray ,0.089
Gaura villosa Torr.,0.439
Geranium carolinianum L.,0.17
Gilia pinnata (Cav.) Brand ,0.21
Gilia rigidula Benth. ,0.175
Glandularia bipinnatifida (Schauer) Nutt.,0.175
Glaucium arabicum (L.) J.H.Rudolph ,0.347
Glaucium corniculatum (L.) Rudolph ,0.324
Hamamelis japonica Sieber & Zucc.,0.164
Haynaldia villosa (L.) Schur,0.027
Hedera helix L.,0.335
Heracleum moellendorffii ,0.1654
Hopea ferrea Laness.,0.088
Hydrangea paniculata Sieber,0.313
Hydrangea petiolaris Sieber & Zucc.,0.38
Hydrocotyle bonariensis Lam.,0.205
Hyoscyamus aureus L.,0.317
Hyoscyamus niger L.,0.332
Hyoscyamus reticulatus L. ,0.3545
Hypericum calycinum L.,0.3825
Hypericum cistifolium Lam.,0.386
Hypericum perforatum L. ,0.33
Hypericum tetrapterum Fr.,0.349
Ipomoea cissoides Griseb.,0.063
Ipomoea eriocarpa R.Br.,0.095
Ipomoea hederacea (L.) Jacq.,0.0973
Ipomoea muricata Jacq.,0.1233
Ipomoea nil (L.) Roth,0.113
Ipomoea pandurata (L.) G.Mey. ,0.071
Ipomoea pes-tigridis L.,0.097
Ipomoea pilosa Sweet,0.093
Ipomoea purpurea (L.) Roth,0.113
Ipomoea triloba L. ,0.118
Iris kerneriana (Asch. & Sint.) Baker,0.116
Iris missouriensis Nutt. ,0.142
Iris ochroleuca L.,0.116
Iris x germanica L. ,0.192
Jacquinia pungens A.Gray,0.114
Kalopanax septemlobus (Thunb.) Koidz ,0.217
Koelreuteria bipinnata Franch.,0.54
Lagerstroemia indica L. ,0.0677
Lagerstroemia speciosa (L.) Pers.,0.015
Lagerstroemia tomentosa C.Presl.,0.003
Lanaria lanata (L.) T.Durand & Schinz,0.17
Lantana camara L.,0.48
Larrea divaricata Cav.,0.129
Larrea tridentata (Sessé & Moc. ex DC.) Cov.,0.117
Leontice leontopetalum L.,0.135
Leucadendron aurantiacum Beuk,0.133
Leucadendron dregei E.Mey.,0.13
Leucadendron galpinii Phillips & Hutch. ,0.12
Leucadendron plumosum R.Br. ,0.212
Leucadendron pseudospathulatum Phillips & Hutch.,0.417
Leucadendron tortum R.Br.,0.285
Leucadendron truncatum Meisn.,0.347
Leucadendron venosum R.Br.,0.399
Leucospermum attenuatum R.Br.,0.441
Leucospermum conocarpum R.Br. ,0.408
Leucospermum nutans R.Br.,0.447
Lilium ponticum K.Koch ,0.118 
Lilium tsingtauense Gilg ,0.01
Limnanthes alba var. versicolor (Greene) C.T.Mason ,0.309
Limnanthes bakeri J.T.Howell,0.256
Limnanthes douglasii var. douglasii ,0.2757
Limnanthes gracilis var. gracilis,0.288
Linum australe Hell.,0.288
Linum bienne Mill. ,0.299
Linum grandiflorum Desf. ,0.282
Linum perenne L.,0.288
Lippia durangensis Moldenke ,0.238
Lithraea brasiliensis Marchand,0.11
Lobelia erinus L.,0.467
Ludwigia pilosa Walter ,0.287
Luffa acutangula (L.) Roxb.,0.3405
Luffa operculata (L.) Cogn. ,0.286
Lycium barbarum L.,0.191
Lythrum salicaria L.,0.109
Mandragora officinarum L.,0.226
Maximowiczia sonorae S.Watson,0.285
Mentzelia albicaulis A.Gray,0.345
Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ,0.397
Mentzelia dispersa S.Watson ,0.465
Mentzelia nuda (Pursh) Torr. & Gray ,0.392
Merremia aegyptia (L.) Urb. ,0.082
Momordica balsamina L.,0.3367
Momordica charantia L. ,0.44
Myrica cerifera L.,0.133
Myrica cordifolia L. ,0.089
Myrica pensylvanica Mirb. ,0.353
Myrsine africana L. ,0.197
Nemesia strumosa cv. suttonii ,0.477
Nicandra physalodes (L.) Gaertn.,0.236
Nicotiana tabacum L.,0.381
Oenothera biennis L. ,0.2403
Oenothera depressa Greene ,0.253
Oenothera drummondii Hook.,0.27
Oenothera laciniata Hill ,0.173
Oenothera lamarckiana Ser.,0.276
Oenothera missouriensis var. incana ,0.208
Oenothera serrulata Nutt.,0.22
Ostericum grosseserratum (Maxim.) Kitag. ,0.0454
Ostrya carpinifolia Scop.,0.127
Pancratium maritimum L.,0.372
Parrotia jacquemontiana Decne. ,0.168
Parthenocissus quinquefolia (L.) Planch.,0.288
Parthenocissus tricuspidata var. veitchii,0.313
Peganum harmala L.,0.158
perilla frutescens var. acuta,0.3068
Philadelphus grandiflorus Willd.,0.364
Phillyrea latifolia L. ,0.113
Physalis alkekengi L.,0.318
Physalis nicandroides Schltdl.,0.195
Pistacia lentiscus L.,0.13
Pistacia terebinthus L. ,0.3145
Platanus occidentalis L.,0.063
Pleiogynium solandri (Benth.) Engl. ,0.6
Protea grandiflora Thunb.,0.007
Protea latifolia R.Br.,0.182
Protea marginata Thunb.,0.018
Protea mellifera Thunb.,0.0235
Punica granatum L.,0.055
Reseda erecta Lag.,0.357
Reseda lutea L. ,0.35
Reseda luteola L. ,0.281
Reseda odorata L.,0.323
Rhigozum trichotomum Burch.,0.201
Rhus copallina L.,0.1153
Rhus coriaria L.,0.063
Rhus glabra L.,0.1166
Rhus microphylla Engelm. ex A.Gray,0.076
Rhus radicans L.,0.224
Rhus trilobata var. pilossissima Engl.,0.097
Rhus vernix L.,0.092
Rivea corymbosa (L.) Hallier f.,0.092
Roemeria hybrida (L.) DC.,0.379
Sagittaria sagittifolia L.,0.171
Sarcococca saligna (D.Don) Müll.Arg.,0.394
Sauromatum venosum (Dryand. ex Ait.) Kunth,0.029
Saussurea pulchella (Fisch.) Fisch.,0.1912
Schinus molle L.,0.1023
Schinus terebinthifolia Raddi ,0.322
Schizanthus wisetonensis Hort.,0.218
Scrophularia canina L.,0.315
Scrophularia xanthoglossa Boiss.,0.303
Serruria acrocarpa R.Br. ,0.012
Serruria elongata R.Br.,0.022
Setaria glauca (L.) P.Beauv. ,0.0549
Setaria verticillata (L.) Beauv.,0.0815 
Setaria viridis (L.) Beauv., 0.0673 
Sideroxylon mascatense (A.DC.) T.D.Penn.,0.242
Sideroxylon tepicense (Standl.) Penn. ,0.097
Sisyndite spartea E.Mey. ex Sond.,0.157
Skimmia japonica Thunb.,0.431
Solanum caroliniense Mill. ,0.214
Solanum elaeagnifolium Cav.,0.142
Solanum incanum L.,0.113
Sparganium erectum L. ,0.0085
Tribulus terrestris L.,0.335
Trichosanthes cucumerina L.,0.563
Typha australis K.Schum. & Thonner ,0.2
Typha latifolia L.,0.179
Vateria indica L.,0.21
Verbena bracteata Lag. & Rodr. ,0.169
Vicia tetrasperma (L.) Schreb.,0.005
Vitellaria paradoxa C.F.Gaerter,0.42
Vitellaria paradoxa subsp. paradoxa,0.48
Vitis riparia Michx. ,0.174
Vitis trifolia L.,0.158
Vitis vulpina L. ,0.159
Watsonia meriana (L.) Mill.,0.027
Watsonia pyramidata (Andr.) Klatt,0.034
Watsonia schlechteri L.Bolus ,0.097
Wikstroemia indica (L.) C.A.Mey.,0.28
Willdenowia argentea (Nees ex Kunth) Hieron.,0.013
Willdenowia striata Thunb.,0.006
Yucca constricta Buckley ,0.259
Yucca elata Engelm.,0.3078
Yucca glauca Nutt. ,0.266
Yucca peninsularis McKelvey ,0.275
Yucca whipplei Torr.,0.234
Yucca x schottii Engelm. ,0.294
Zantedeschia aethiopica (L.) Spreng.,0.018
Zanthoxylum piperitum (L.) DC.,0.318
Zygophyllum fabago L.,0.077
