Genus,Ke,Cw,Ch,Cq,ref
Entandrophragma,4.6,2.21,0.033,0.000478,"Entandrophragma angolense(Tompsett, 1992)"
Khaya,4.76,2.15,0.033,0.000478,"Khaya senegalensis(Tompsett, 1992)"
Terminalia,5.016,2.161,0.0329,0.000478,"Terminalia brassii(Tompsett, 1986b, Dickie et al. 1990)"
Platanus,5.047,1.678,0.0206,0.00126,"Platanus occidentalis(Bonner 1994)"
